"TOA5","Station","CR1000","12345","CR1000.Std.25","CPU:Gibberish.CR1","54321","Daily"
"TIMESTAMP","RECORD","Batt_Min","Rain_Tot","AirT_Max","AirT_TMx","AirT_Min","AirT_TMn","RH_Max","RH_TMx","RH_Min","RH_TMn","BaromPres_Max","BaromPres_TMx","BaromPres_Min","BaromPres_TMn","SlrkW_Max","SlrkW_TMx","SlrMJ_Max","SlrMJ_TMx","WaterT_Max","WaterT_TMx","WaterLvl_Min","WaterLvl_TMn"
"TS","RN","Volts","mm","Deg C","Deg C","Deg C","Deg C","%","%","%","%","mmHg","mmHg","mmHg","mmHg","kW/m^2","kW/m^2","MJ/m^2","MJ/m^2","Deg C","Deg C","Ft","Ft"
"","","Min","Tot","Max","TMx","Min","TMn","Max","TMx","Min","TMn","Max","TMx","Min","TMn","Max","TMx","Max","TMx","Max","TMx","Min","TMn"
"2014-04-24 00:00:00",13,12.81,3.048,11.03,"2014-04-23 00:15:00",5.897,"2014-04-23 09:00:00",82.1,"2014-04-23 23:30:00",46.03,"2014-04-23 00:30:00",731.5,"2014-04-23 02:00:00",725.8,"2014-04-23 16:30:00",0.121,"2014-04-23 16:45:00",0.004,"2014-04-23 16:45:00",10.5,"2014-04-23 00:15:00",0.423,"2014-04-23 06:45:00"
"2014-04-25 00:00:00",14,12.78,16,13.44,"2014-04-24 17:15:00",3.871,"2014-04-24 23:45:00",99.7,"2014-04-24 07:00:00",64.78,"2014-04-24 18:00:00",726.1,"2014-04-24 00:45:00",723.6,"2014-04-24 06:45:00",0.89,"2014-04-24 15:15:00",0.027,"2014-04-24 15:15:00",15.51,"2014-04-24 17:30:00",0.426,"2014-04-24 00:30:00"
"2014-04-26 00:00:00",15,12.78,0,21.62,"2014-04-25 18:15:00",3.041,"2014-04-25 06:15:00",98.1,"2014-04-25 00:30:00",26.5,"2014-04-25 15:45:00",728.3,"2014-04-25 23:30:00",724.6,"2014-04-25 03:15:00",0.989,"2014-04-25 13:30:00",0.03,"2014-04-25 13:30:00",23.85,"2014-04-25 16:30:00",0.463,"2014-04-25 23:15:00"
"2014-04-27 00:00:00",16,12.85,0,14.78,"2014-04-26 16:15:00",3.041,"2014-04-26 06:15:00",88.8,"2014-04-26 05:30:00",41.29,"2014-04-26 16:15:00",729.8,"2014-04-26 07:45:00",724.5,"2014-04-27 00:00:00",0.926,"2014-04-26 13:15:00",0.028,"2014-04-26 13:15:00",15.3,"2014-04-26 16:00:00",0.445,"2014-04-26 22:45:00"
"2014-04-28 00:00:00",17,12.79,12.19,9.21,"2014-04-27 00:45:00",4.85,"2014-04-27 09:15:00",98.7,"2014-04-27 16:30:00",57.66,"2014-04-27 02:00:00",724.7,"2014-04-27 01:30:00",717.2,"2014-04-27 17:00:00",0.115,"2014-04-27 14:30:00",0.003,"2014-04-27 14:30:00",7.666,"2014-04-27 18:00:00",0.437,"2014-04-27 03:15:00"
"2014-04-29 00:00:00",18,12.75,15.24,8.62,"2014-04-28 02:45:00",5.289,"2014-04-28 22:45:00",99.7,"2014-04-28 23:00:00",92.7,"2014-04-28 02:45:00",721.2,"2014-04-28 22:30:00",717.3,"2014-04-28 03:45:00",0.154,"2014-04-28 15:30:00",0.005,"2014-04-28 15:30:00",7.326,"2014-04-28 04:15:00",0.475,"2014-04-28 02:45:00"
"2014-04-30 00:00:00",19,12.72,16,5.795,"2014-04-29 18:30:00",0.554,"2014-04-29 08:00:00",99.5,"2014-04-29 08:30:00",79.09,"2014-04-29 18:30:00",726.5,"2014-04-29 22:00:00",720.6,"2014-04-29 03:15:00",0.282,"2014-04-29 12:45:00",0.008,"2014-04-29 12:45:00",5.451,"2014-04-29 00:15:00",0.517,"2014-04-29 01:15:00"
"2014-05-01 00:00:00",20,12.73,1.778,6.707,"2014-04-30 15:00:00",2.301,"2014-04-30 07:00:00",97.4,"2014-04-30 23:30:00",83.7,"2014-04-30 14:45:00",727.5,"2014-04-30 15:15:00",725.6,"2014-04-30 03:30:00",0.242,"2014-04-30 14:00:00",0.007,"2014-04-30 14:00:00",6.357,"2014-04-30 17:00:00",0.561,"2014-04-30 03:15:00"
"2014-05-02 00:00:00",21,12.73,1.778,8.21,"2014-05-01 17:45:00",2.769,"2014-05-01 23:45:00",97.8,"2014-05-01 01:45:00",76.77,"2014-05-01 18:00:00",728.8,"2014-05-01 22:00:00",726.1,"2014-05-01 05:15:00",0.367,"2014-05-01 15:45:00",0.011,"2014-05-01 15:45:00",8.1,"2014-05-01 18:30:00",0.567,"2014-05-01 02:15:00"
"2014-05-03 00:00:00",22,12.8,0,17.1,"2014-05-02 17:15:00",1.626,"2014-05-02 02:00:00",94.8,"2014-05-02 02:00:00",37.47,"2014-05-02 17:30:00",728.5,"2014-05-02 00:15:00",722.4,"2014-05-02 16:30:00",1.153,"2014-05-02 11:45:00",0.035,"2014-05-02 11:45:00",17.36,"2014-05-02 16:00:00",0.558,"2014-05-02 23:15:00"
